Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2010-01-04,218.5930938720703,221.76376542820617,207.68885732873463,221.76376542820617,76646086
2010-01-05,217.61749267578125,233.71474007258507,216.54028253029978,233.71474007258507,21392825
2010-01-06,221.13369750976562,222.45481176562942,217.60733879271046,219.4873823501729,23691760
2010-01-07,224.8022918701172,226.62136263819846,219.10118908571658,221.13367759149628,26197920
2010-01-08,224.21290588378906,226.37750201850946,222.75968421181614,225.19865717290486,15110149
2010-01-11,219.8125762939453,233.6740930860171,213.4102744375723,230.6253533654892,188649642
2010-01-12,220.39183044433594,231.15381059593588,218.89796045896998,222.5564264264373,32790509
2010-01-13,221.25564575195312,221.94668241821145,217.19068188685603,221.1337004992421,15360176
2010-01-14,227.983154296875,228.6132047468954,220.72719493661396,220.72719493661396,24545629
2010-01-15,225.75758361816406,231.47901129095155,224.59907656426074,228.8164584932961,18766617
2010-01-18,223.47105407714844,226.91610246583943,221.93652203173963,224.9954104505233,14172193
2010-01-19,220.52398681640625,224.8023418134842,220.04634071819348,223.57269990105345,13064666
2010-01-20,218.9995880126953,222.9832549930597,217.88172940830188,222.556433046322,19331024
2010-01-21,214.2334442138672,218.89798615646887,213.4611106543877,218.49148838263375,18611321
2010-01-22,214.1927947998047,217.6785053929249,209.243713935767,211.5810659488055,39869565
2010-01-25,211.79443359375,214.30454096032943,210.7070613996043,213.33911400644803,13393277
2010-01-27,208.84738159179688,213.4103025342661,207.31286299313328,210.158333874491,24843485
2010-01-28,210.7985382080078,212.68874386266097,208.3290790454105,211.37779171595196,33223459
2010-01-29,212.637939453125,213.77612229329202,206.9266739081459,209.93473824827493,23333042
2010-02-01,212.47532653808594,214.42650469741335,210.47332429325215,210.86965990078332,12132865
2010-02-02,208.7965545654297,214.70090007225627,208.146152744334,213.81676984838998,17248998
2010-02-03,210.1481475830078,213.08507707379275,209.56888051408248,209.56888051408248,15052266
2010-02-04,207.14007568359375,210.9712975793556,206.09335179623542,210.9712975793556,11974603
2010-02-05,199.52845764160156,204.82306367637233,198.1667084142085,198.1667084142085,29882876
2010-02-08,202.09951782226562,204.1319927855134,198.16667524081524,200.19915020406302,25894932
2010-02-09,201.8759765625,202.84140371131838,199.7317180513106,201.97759761657267,14292031
2010-02-10,200.21949768066406,203.22756206127536,199.5894200574825,203.22756206127536,18261247
2010-02-11,206.3271026611328,207.27220554533568,200.9105379766351,201.06298311663,23450102
2010-02-15,205.28036499023438,208.7355891696493,204.79257039129575,208.7355891696493,13498617
2010-02-16,206.8555450439453,207.51609542334873,204.26412691519312,205.30068873966874,10068256
2010-02-17,209.8636016845703,210.93064978385672,207.72950548599746,208.32908321437446,15630122
2010-02-18,202.8007354736328,211.04244636976483,202.23164405886888,209.3453206623247,19834114
2010-02-19,199.8332977294922,202.23162194684934,198.6036425271235,202.23162194684934,17754534
2010-02-22,198.7662353515625,203.247844691729,197.1504067731407,202.29257991529403,12692045
2010-02-23,198.2378387451172,199.79268150367918,197.15045281381083,197.96344834416468,12976934
2010-02-24,198.93902587890625,200.3414369810632,196.46956668550627,197.1504412441155,12487589
2010-02-25,195.74801635742188,200.1991534222626,194.94519660321927,199.20324013155943,18954063
2010-02-26,198.9695281982422,202.23165892802314,196.38828564940778,196.94721500085288,22579233
2010-03-02,199.8332977294922,203.04461734622637,199.0609507433279,200.19914701596798,18210596
2010-03-03,208.28843688964844,208.93882514666367,200.80891087994064,200.80891087994064,26623966
2010-03-04,206.09335327148438,211.37779683561857,204.87387360075638,211.37779683561857,20781218
2010-03-05,205.2396697998047,208.53228598419173,204.2844050292591,207.71930421626956,11774505
2010-03-08,204.0812225341797,208.73560251509528,203.65440053687425,207.5567575778793,11941298
2010-03-09,201.2865447998047,205.64620977928894,200.8190744208543,204.56899955705282,17459521
2010-03-10,205.02630615234375,207.08926763856292,201.07313895661207,202.23164600612364,24807175
2010-03-11,206.59130859375,207.3128451410097,204.67061659260634,205.28035642394457,14583772
2010-03-12,207.63800048828125,209.95502777142804,206.09332015537026,206.29657577953992,22333253
2010-03-15,208.94895935058594,209.74163053263763,205.910409098656,207.71931773240627,18131701
2010-03-16,217.05856323242188,217.84107236504852,209.14206724163006,209.75180704101234,33998717
2010-03-17,217.4142608642578,220.01582741596098,216.62158958974422,218.45082264319862,21599472
2010-03-18,218.8878173828125,219.83292026872806,216.2760885992673,218.28823962926478,15292424
2010-03-19,221.95684814453125,222.86128896250688,217.50571094440377,219.26380919579285,19737747
2010-03-22,218.27806091308594,223.36941072970242,215.8492502016269,215.8492502016269,20468483
2010-03-23,221.82472229003906,222.3430031468678,218.88779291215573,219.09103498637808,20005544
2010-03-25,221.83489990234375,222.96293419582443,218.97926715451058,222.75967853983067,22967888
2010-03-26,223.6641082763672,225.8083799104051,222.58689819147895,222.9629095811282,18075516
2010-03-29,222.21092224121094,225.5949981526424,221.7434518473099,224.3246943349043,20249784
2010-03-30,221.1642303466797,224.73122466354684,220.11750625307977,222.75972175306185,18938795
2010-03-31,218.33901977539062,222.55641480826768,217.73944210526378,222.12959289650718,21647708
2010-04-01,221.95684814453125,223.26778668755813,218.89795988649053,219.10120196523516,12519976
2010-04-05,228.8367462158203,229.59894463828215,222.86126688201833,222.86126688201833,19912935
2010-04-06,228.28802490234375,230.27985162828193,227.67827150527333,229.26361405658133,12481837
2010-04-07,229.609130859375,233.67410837432516,228.2677059172732,228.65386589200872,20218574
2010-04-08,224.90394592285156,230.99122272821242,223.8775462616299,230.279848297773,14723428
2010-04-09,228.59291076660156,229.87339031427905,225.23932101945417,225.23932101945417,16826518
2010-04-12,229.13148498535156,232.71882980697578,228.17622007381053,232.71882980697578,12699784
2010-04-13,227.82052612304688,230.48307869877488,225.86936150925987,229.26359911921278,13971281
2010-04-15,221.68243408203125,230.66597721869292,220.94057343876338,228.65382658388825,24286918
2010-04-16,220.37152099609375,222.5564413324608,217.70898174143855,220.74753243550057,18193722
2010-04-19,215.80860900878906,219.46706157076156,213.61352661755546,219.46706157076156,16389189
2010-04-20,216.09317016601562,219.45692204607604,214.29442322941853,217.44477089482834,16748550
2010-04-21,214.2436065673828,218.22727390153412,213.03428891719597,217.47525098393282,19187549
2010-04-22,218.64395141601562,222.3328908626873,213.420479694866,213.51193864875984,25598349
2010-04-23,221.17434692382812,222.75967589747378,219.50770754821187,219.50770754821187,23235165
2010-04-26,217.7293243408203,223.12555160598674,216.15414371763734,219.50773350649422,16652152
2010-04-27,215.6968231201172,217.06874798756007,214.42653286947856,216.05251036002386,13970196
2010-04-28,206.75390625,214.2130940446111,205.68684463515595,214.2130940446111,40110291
2010-04-29,210.37173461914062,211.35748594934705,207.14009022315224,208.12584155335864,23447044
2010-04-30,210.07704162597656,212.8412021580424,209.34534289531285,211.37781826427906,15821019
2010-05-03,208.07504272460938,209.87378969937083,206.9266976481871,208.53235104755612,12535244
2010-05-04,207.5465545654297,211.17453404367689,205.9917120322786,208.16645644448442,17348783
2010-05-05,207.44496154785156,208.03437719611026,203.91861619557577,205.28036537920553,14976570
2010-05-06,204.84339904785156,207.98357091268818,204.06088982412237,207.27220999184993,23863448
2010-05-07,209.91436767578125,215.44271411855533,198.3698938815222,198.3698938815222,72063684
2010-05-10,221.00865173339844,221.5410038413194,212.94144455719166,215.19371398910917,38050844
2010-05-11,218.63351440429688,222.9742427488364,217.72236943954084,222.9742427488364,26325489
2010-05-12,221.73553466796875,223.06640815712126,217.86573420188253,220.32274928606998,15294301
2010-05-13,219.45252990722656,223.87515658709722,217.4459689414643,217.4459689414643,11947698
2010-05-14,213.68881225585938,219.28876766892134,211.9177083851688,218.6130799450154,18161695
2010-05-17,208.14004516601562,211.8562866781748,206.59417507826768,211.8562866781748,20611809
2010-05-18,208.96926879882812,211.6003174717347,206.3484437355556,208.8464214680918,15445191
2010-05-19,204.4749755859375,208.3857248554329,203.748101562252,208.23215202810488,26097480
2010-05-20,204.7411651611328,207.4131768080571,203.47170164669672,204.95616167360689,18577281
2010-05-21,203.84024047851562,204.7206736763766,199.85783020113797,202.6834007890944,19167407
2010-05-24,209.3889923095703,214.77395017731698,208.11952900056502,208.43689824479787,24726303
2010-05-25,201.81321716308594,209.8701873737828,201.21944136600496,209.8701873737828,25245934
2010-05-26,206.39962768554688,206.79888147928548,202.90860696611472,203.70714188944442,13726569
2010-05-27,209.30712890625,210.42301958308738,205.0790099331974,207.00367293614352,27405100
2010-05-28,212.2555694580078,212.73673525947157,207.7203179881661,210.8837330096747,17535288
2010-05-31,214.0880889892578,214.68186484189647,210.63801660708117,210.92467408831843,16548811
2010-06-01,206.91152954101562,213.965205411444,205.59087967945624,213.61713796055736,19466130
2010-06-02,207.01390075683594,209.05117372864078,205.4373189580052,207.822673045995,19728249
2010-06-03,211.05772399902344,212.53193294304523,208.8259428622287,208.8259428622287,17106958
2010-06-04,211.13966369628906,212.12246978842137,209.34808525011468,211.09870091351542,14088022
2010-06-07,206.33822631835938,207.82268637934763,204.7514071398326,207.82268637934763,13503377
2010-06-08,204.01429748535156,207.35174577190014,203.7481145907753,206.73748175916342,15226706
2010-06-09,206.1949005126953,207.822682442502,204.75140326116713,204.7923523745783,15242486
2010-06-10,207.89430236816406,208.3242816420637,206.21533437789628,206.79887279678664,13962908
2010-06-11,214.25186157226562,215.16300664172022,209.05117404901156,209.87018361731572,23307069
2010-06-14,217.75308227539062,219.08396926011878,214.80466455619143,215.9922296660481,15892958
2010-06-15,218.2854461669922,219.06350658003294,215.00943541338077,218.10117517502692,18992836
2010-06-16,216.61672973632812,219.62657129013508,216.03319125841486,219.08398192169454,11833071
2010-06-17,219.3706512451172,220.5172537083495,216.68840242172266,217.71215754987892,21047804
2010-06-18,215.879638671875,223.13808769333374,215.10159185101293,221.1724619147016,38277934
2010-06-21,218.19332885742188,219.43208052155276,217.2412346503902,217.2412346503902,11792906
